"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18590120,"2018-05-25 02:30:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","3800 FERNWOOD AVE","LYNWOOD",,"918-07650-2112","2112","07650","CA01900V3","CENTURY","N"
18590147,"2018-05-25 02:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","10800 ELGERS ST","CERRITOS",,"918-02345-2310","2310","02345","CA01900R7","CERRITOS","N"
18590176,"2018-05-25 03:41:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3900 TRITON DR","PALMDALE","93550","918-07635-2608","2608","07635","CA01900W9","PALMDALE","N"
18591343,"2018-05-25 03:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","14000 RACINE AVE","PARAMOUNT","90723","918-11865-1361","1361","11865","CA0190013","LAKEWOOD","N"
18590644,"2018-05-25 04:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","5900 ANGELES CREST HWY","LA CANADA FLINTRIDGE",,"918-01011-1261","1261","01011","CA0190012","CRESCENTA VALLEY","N"
18590174,"2018-05-25 04:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","7300 BEACH ST","LOS ANGELES",,"918-07657-2173","2173","07657","CA01900V3","CENTURY","N"
18590825,"2018-05-25 04:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","43600 KIRKLAND AVE","LANCASTER",,"918-10332-1133","1133","10332","CA0190024","LANCASTER","N"
18590835,"2018-05-25 05:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","14900 CERRITOS AVE","BELLFLOWER",,"918-11807-1332","1332","11807","CA0190013","LAKEWOOD","N"
18590620,"2018-05-25 07:00:00","092","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van, Attempt","1900 E 70TH ST","LOS ANGELES","90001","918-07667-2171","2171","07667","CA01900V3","CENTURY","N"
18590662,"2018-05-25 07:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2200 E COMPTON BLVD","COMPTON",,"918-07308-2826","2826","07308","CA0190042","COMPTON","N"
18592857,"2018-05-25 07:37:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","4500 ROSEMEAD BLVD","PICO RIVERA","90660","918-03775-1510","1510","03775","CA0190015","PICO RIVERA","N"
18590157,"2018-05-25 07:48:51","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","44000 2ND ST E","LANCASTER",,"918-10292-1133","1133","10292","CA0190024","LANCASTER","N"
18590168,"2018-05-25 08:00:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","3600 SANBORN AVE","LYNWOOD",,"918-07656-2112","2112","07656","CA01900V3","CENTURY","N"
18590341,"2018-05-25 08:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","5200 137TH ST","HAWTHORNE","90250","918-04074-0385","0385","04074","CA0190003","SOUTH LOS ANGELES","N"
18590451,"2018-05-25 10:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3100 EVELYN AVE","ROSEMEAD","91770","918-06350-0532","0532","06350","CA0190005","TEMPLE","N"
18590507,"2018-05-25 11:33:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3600 W 132ND ST","HAWTHORNE",,"918-04076-0379","0379","04076","CA0190003","SOUTH LOS ANGELES","N"
18590584,"2018-05-25 12:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","11500 ATLANTIC AVE","LYNWOOD","90262","918-07666-2115","2115","07666","CA01900V3","CENTURY","N"
18590602,"2018-05-25 12:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","600 N WILLOWBROOK AVE","COMPTON",,"918-07307-2822","2822","07307","CA0190042","COMPTON","N"
18590817,"2018-05-25 12:52:30","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","44500 WATFORD AVE","LANCASTER","93535","918-10331-1133","1133","10331","CA0190024","LANCASTER","N"
18590714,"2018-05-25 12:55:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","12700 SOUTH ST","CERRITOS",,"918-02351-2314","2314","02351","CA01900R7","CERRITOS","N"
18599029,"2018-05-25 13:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","43500 32ND ST W","LANCASTER",,"918-10958-1192","1192","10958","CA0190024","LANCASTER","N"
